# Averaged per day, units: EUR/MWh
%	 2473
%	 16
% Key	Time	SYS	SE1	SE2	SE3	SE4	FI	Oslo	Krsand	Bergen	Molde	Trheim	Tromse	EE	LT	
321	2013-11-17	33.3858333333333	33.0733333333333	33.0733333333333	33.0733333333333	34.725	33.0733333333333	33.68	33.68	33.68	33.0733333333333	33.0733333333333	33.0733333333333	39.1608333333333	39.22125
322	2013-11-18	37.5304166666667	38.64375	38.64375	38.64375	44.54	40.1895833333333	35.7	35.7	35.7	38.64375	38.64375	38.64375	46.0258333333333	46.0258333333333
323	2013-11-19	38.4516666666667	38.1983333333333	38.1983333333333	38.1983333333333	51.4666666666667	39.4845833333333	37.2225	37.2225	37.2225	38.1983333333333	38.1983333333333	38.1983333333333	41.1508333333333	54.2483333333333
324	2013-11-20	40.91125	40.5970833333333	40.5970833333333	40.5970833333333	50.4795833333333	42.65625	38.75125	38.75125	38.75125	40.5970833333333	40.5970833333333	40.5970833333333	43.9158333333333	67.4929166666667
325	2013-11-21	41.0304166666667	40.3	40.3	40.3	54.03	41.30375	40.065	40.0545833333333	40.065	40.3	40.3	40.3	42.9325	67.8808333333333
326	2013-11-22	41.1441666666667	40.375	40.375	40.375	49.4595833333333	41.675	39.48375	39.455	39.48375	40.375	40.375	40.375	51.0729166666667	66.46
327	2013-11-23	37.0241666666667	36.9608333333333	36.9608333333333	36.9608333333333	43.7383333333333	36.9608333333333	36.89625	36.89375	36.89625	36.9608333333333	36.9608333333333	36.9608333333333	44.5520833333333	44.5520833333333
328	2013-11-24	34.9725	34.9604166666667	34.9604166666667	34.9604166666667	34.9604166666667	34.9604166666667	35.2241666666667	35.2241666666667	35.2241666666667	34.9604166666667	34.9604166666667	34.9604166666667	38.2245833333333	38.2245833333333
329	2013-11-25	41.0191666666667	39.86875	39.86875	43.4379166666667	44.0570833333333	44.18	40.1466666666667	40.1429166666667	40.1466666666667	39.86875	39.86875	39.86875	47.87	47.87
330	2013-11-26	41.6833333333333	39.5445833333333	39.5445833333333	46.4720833333333	51.7841666666667	46.7325	38.4483333333333	38.4483333333333	38.4483333333333	39.5445833333333	39.5445833333333	39.5445833333333	46.25	46.5445833333333
331	2013-11-27	35.8591666666667	35.8225	35.8225	35.8225	35.8225	37.5066666666667	35.9491666666667	35.8879166666667	35.9491666666667	35.8225	35.8225	35.8225	40.4675	40.4675
332	2013-11-28	34.3404166666667	33.4320833333333	33.4320833333333	33.4320833333333	33.4320833333333	33.66375	35.08625	34.1745833333333	35.08625	33.4320833333333	33.4320833333333	33.4320833333333	35.0225	35.0266666666667
333	2013-11-29	36.7554166666667	38.26625	38.26625	38.26625	41.365	39.9679166666667	35.6545833333333	35.04125	35.6545833333333	38.26625	38.26625	38.26625	41.7154166666667	41.7154166666667
334	2013-11-30	35.8583333333333	36.4	36.4	36.4	38.9329166666667	36.4	35.21375	35.21375	35.21375	36.4	36.4	36.4	41.0158333333333	41.0158333333333
335	2013-12-01	33.6741666666667	33.9195833333333	33.9195833333333	33.9195833333333	33.9195833333333	33.9195833333333	33.9120833333333	33.9091666666667	33.9120833333333	33.9195833333333	33.9195833333333	33.9195833333333	35.6816666666667	35.6816666666667
336	2013-12-02	42.0333333333333	41.5808333333333	41.5808333333333	44.7283333333333	49.8033333333333	49.93625	36.5208333333333	36.5208333333333	36.4395833333333	40.0108333333333	40.0108333333333	40.0108333333333	48.4783333333333	48.4783333333333
337	2013-12-03	36.3025	36.39375	36.39375	36.39375	37.0829166666667	37.87375	35.9679166666667	35.9679166666667	35.8158333333333	36.39375	36.39375	36.39375	38.1158333333333	38.1158333333333
338	2013-12-04	35.3775	35.2825	35.2825	35.2825	35.3516666666667	37.3966666666667	35.3391666666667	35.2983333333333	35.3391666666667	35.2825	35.2825	35.2825	40.5029166666667	40.5029166666667
339	2013-12-05	34.53375	34.5770833333333	34.5770833333333	34.5770833333333	34.5770833333333	37.6020833333333	34.7075	34.2475	34.7075	34.5770833333333	34.5770833333333	34.5770833333333	38.94	38.94
340	2013-12-06	34.1491666666667	34.4441666666667	34.4441666666667	34.4441666666667	34.4441666666667	34.9679166666667	34.4879166666667	33.8583333333333	34.4879166666667	34.4441666666667	34.4441666666667	34.4441666666667	37.7370833333333	37.7370833333333
341	2013-12-07	35.4854166666667	36.1295833333333	36.1295833333333	36.1295833333333	36.1295833333333	37.98	34.7695833333333	34.7695833333333	34.7695833333333	36.105	36.105	36.105	37.98	37.98
342	2013-12-08	35.6066666666667	37.5066666666667	37.5066666666667	37.5066666666667	37.5066666666667	40.6779166666667	34.9004166666667	34.73125	34.9004166666667	37.5066666666667	37.5066666666667	37.5066666666667	40.7083333333333	40.7083333333333
343	2013-12-09	43.0941666666667	42.9979166666667	42.9979166666667	46.7683333333333	47.1454166666667	58.87	42.1925	37.0529166666667	37.0045833333333	42.9379166666667	42.9379166666667	42.9379166666667	58.87	58.9066666666667
